Unnamed: 0,Features,XGBoost_Importance,LightGBM_Importance,CatBoost_Importance,Total_Importance,IC mean,IC std,IR,t_value,p,IC Skew,IC kurtosis,Alpha_index,IC mean abs,topsis_score
53,alpha104,0.33048713,1.336416659352869,-0.4561403279300617,0.4035878211650853,0.0032459488820558,0.4885303547797383,0.0066443136036435,0.9256127438815692,0.3546587782908177,0.0045383803771738,-1.0373705959799655,alpha104,0.0032459488820558,0.35980279061774406
107,alpha072,0.66111654,0.4867449422272196,-0.0879028411444241,0.3533195471715906,-0.0264897653756755,0.6552163485534698,-0.0404290360491726,-5.632128948495232,1.8046378282275e-08,0.0665765669563515,-1.4752839584156028,alpha072,0.0264897653756755,0.35797571215224183
13,alpha017,2.4627798,-0.8636261796331876,-0.4561403279300617,0.3810044175991562,-0.0019122261718385,0.5178133101603892,-0.0036928872516742,-0.5144524635310785,0.6069415459295008,0.0018679363122256,-1.126034378247778,alpha017,0.0019122261718385,0.35791527278221463
73,alpha140,0.9686708,0.9722716377275908,-0.4561403279300617,0.4949340317415409,0.0010142342391517,0.2904843825061703,0.0034915276009036,0.4864012501213763,0.6266881970889582,0.0201481325119481,-0.1022287895728775,alpha140,0.0010142342391517,0.3576587109262472
87,alpha162,2.2934048,-0.8636261796331876,-0.4561403279300617,0.3245461033393091,-0.0123933312159016,0.6244990872498557,-0.019845235115521,-2.76462003812993,0.0057042919983713,0.0200971426815279,-1.3946150014631418,alpha162,0.0123933312159016,0.3561369196796411
40,alpha080,0.8525618,0.7598537084461784,-0.4561403279300617,0.3854250507952586,0.0037050654580874,0.4474833293848316,0.0082797843289065,1.1534485499336071,0.248740529840606,0.0001539330082679,-0.9464237737921004,alpha080,0.0037050654580874,0.3531425644372157
27,alpha048,0.42710885,1.412280205524802,-0.4561403279300617,0.4610829105500483,-0.0033401136895925,0.5243252589552978,-0.0063703085680969,-0.8874413739073044,0.3748523148242273,0.0057472650440581,-1.1072729067185505,alpha048,0.0033401136895925,0.3515939625013018
63,alpha119,-0.12324132,0.8508899638524979,-0.4561403279300617,0.0905027718900059,0.0086820982079282,0.4129364459687044,0.0210252650079383,2.9290088330813995,0.003404403008341,-0.0267028672690738,-0.9865607113254992,alpha119,0.0086820982079282,0.34871722568598607
134,alpha128,0.894388,-0.4236176118359762,-0.446962208063649,0.0079360667129931,0.0123184692075861,0.5674830587050093,0.021707201684041,3.0240087556580115,0.002497751945728,-0.0349254265133577,-1.2767454743142896,alpha128,0.0123184692075861,0.34832375261636433
41,alpha085,0.71669996,0.6081266161023124,-0.4561403279300617,0.2895620820066153,0.0056619427947634,0.4944153611099413,0.0114517938561872,1.595338053847845,0.1106529442917293,-0.0090682066036837,-1.0386008907419086,alpha085,0.0056619427947634,0.34805886737221703
7,alpha010,-0.4328468,1.4274529147591886,-0.4561403279300617,0.1794885908117098,0.0042893082866719,0.430994268122897,0.0099521237378704,1.3864204957766677,0.1656344690126469,-0.0120064534019863,-1.1104554750321705,alpha010,0.0042893082866719,0.34408061305156346
76,alpha144,-0.3562575,1.6246981348062144,-0.4561403279300617,0.2707667695372799,0.000464384594851,0.3408121591535117,0.0013625822388626,0.189819981432899,0.8494521829676769,-0.0090499015362609,-0.4082508397701221,alpha144,0.000464384594851,0.34008899941140364
117,alpha110,0.7965778,-0.696726378054935,-0.4561403279300617,-0.1187629649146155,0.0130336197935997,0.6167710938537281,0.0211320211395814,2.9438809239896524,0.0032450871475336,-0.0364934276304696,-1.3930677261546316,alpha110,0.0130336197935997,0.3366922379435401
