expr,direction_by_ic_mean,bars,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_win,avg_loss
"gp_mean6(alpha184, alpha096, alpha120, alpha022, alpha013, alpha146)",long_top/short_bottom,3264,-0.009125232696533203,-0.003223915322959403,0.12722930588327144,-0.025339408248577854,-0.19821125268936157,0.5131740196078431,0.0011851285817101598,-0.0012509154621511698
"gp_mean6(alpha002, alpha165, alpha191, alpha022, alpha013, alpha120)",long_top/short_bottom,3264,-0.00953984260559082,-0.0035310866990527767,0.12888795510203377,-0.027396560805526028,-0.15409106016159058,0.5168504901960784,0.0011981510324403644,-0.00128354097250849
"gp_mean6(alpha002, alpha096, alpha120, alpha022, gp_abs(gp_max(alpha137, alpha054)), alpha146)",long_top/short_bottom,3264,-0.009583234786987305,-0.00457676633260351,0.12085698226912642,-0.03786927529277446,-0.14271295070648193,0.5147058823529411,0.0011260468745604157,-0.0011966365855187178
"gp_sin(gp_mean7(alpha120, alpha013, alpha191, alpha184, alpha146, alpha096, alpha013))",long_top/short_bottom,3264,-0.015073955059051514,-0.010340842022968921,0.1293582285042943,-0.0799395766510952,-0.20558875799179077,0.5202205882352942,0.0011962985154241323,-0.0013025093358010054
"gp_mean3(gp_max(alpha137, alpha191), gp_mean7(gp_log(alpha054), alpha135, alpha191, alpha054, alpha096, alpha165, alpha127), alpha191)",long_top/short_bottom,3264,-0.01665562391281128,-0.011739066980807955,0.13370059551818833,-0.08780115702035896,-0.17867755889892578,0.5045955882352942,0.0012612545397132635,-0.0012905660551041365
"gp_mean3(alpha002, alpha054, gp_stddev_10(alpha002))",long_top/short_bottom,3264,-0.021450340747833252,-0.017430244489140434,0.13564543897508954,-0.12849856671068308,-0.2187061309814453,0.5245098039215687,0.0012197740143164992,-0.0013546956470236182
"gp_mean3(gp_gt(alpha002, 8.5234865473508), alpha013, gp_mean7(alpha111, alpha184, alpha054, alpha135, alpha191, alpha096, alpha166))",long_top/short_bottom,3264,-0.024378597736358643,-0.02256449188068832,0.12382158674317129,-0.18223390988754828,-0.1583946943283081,0.5180759803921569,0.00114494189620018,-0.0012425761669874191
"gp_mean6(gp_corr_20(alpha120, alpha120), alpha096, alpha120, alpha022, gp_abs(gp_max(alpha137, alpha054)), alpha146)",long_top/short_bottom,3264,-0.023397386074066162,-0.022116844814458525,0.1172817645433772,-0.18857871810309018,-0.16190826892852783,0.5116421568627451,0.001101850182749331,-0.0011657433351501822
"gp_mean6(alpha066, alpha165, alpha065, alpha135, alpha054, alpha111)",long_top/short_bottom,3264,-0.02941030263900757,-0.027986831555329106,0.13027665801466023,-0.21482613986136875,-0.15463578701019287,0.5257352941176471,0.001175643177703023,-0.0013180766254663467
"gp_signedpower(gp_mean7(alpha096, alpha054, alpha191, alpha146, alpha049, alpha096, alpha191))",long_top/short_bottom,3264,-0.032794058322906494,-0.031157276273585555,0.13809750176880592,-0.22561795741784738,-0.17580610513687134,0.5174632352941176,0.001263600424863398,-0.0013713301159441471
"gp_mean5(alpha191, alpha111, alpha162, alpha054, alpha183)",long_top/short_bottom,3264,-0.03254580497741699,-0.0315955957751447,0.1323940045385417,-0.23864823702002907,-0.17345213890075684,0.5220588235294118,0.0012053089449182153,-0.0013332284288480878
"gp_mean6(alpha066, alpha137, alpha191, alpha166, alpha013, alpha120)",long_top/short_bottom,3264,-0.03201943635940552,-0.031175473822051103,0.13056796761628686,-0.2387681633650727,-0.15144532918930054,0.5079656862745098,0.0011702930787578225,-0.0012241500662639737
"gp_min(alpha191, alpha054)",long_top/short_bottom,3264,-0.03623408079147339,-0.03494938408719117,0.14151290873842526,-0.24696958319040827,-0.2249888777732849,0.5223651960784313,0.0012590260012075305,-0.0013954058522358537
"gp_mean4(alpha146, 19.806458919076526, alpha054, alpha096)",long_top/short_bottom,3264,-0.03443080186843872,-0.0338099978802191,0.1332828063366837,-0.25367111339786896,-0.15471559762954712,0.5076593137254902,0.0012454618699848652,-0.0013015392469242215
"gp_add(alpha002, alpha111)",long_top/short_bottom,3264,-0.032375872135162354,-0.033760460126813996,0.11234823300803357,-0.30049836319544004,-0.1009519100189209,0.5128676470588235,0.001023850403726101,-0.0010954259196296334
"gp_mean5(alpha191, alpha111, alpha162, alpha013, alpha120)",long_top/short_bottom,3264,-0.03988516330718994,-0.04097792917034715,0.1298900193269958,-0.3154817389562931,-0.1641172170639038,0.5189950980392157,0.0011772036086767912,-0.001291754306294024
"gp_signedpower(gp_mean6(alpha072, alpha191, alpha120, alpha002, alpha096, alpha165))",long_top/short_bottom,3264,-0.04420590400695801,-0.04573308837806156,0.13446875753002943,-0.3401019628507275,-0.1878787875175476,0.5104166666666666,0.0012729560257866979,-0.0013508384581655264
"gp_mean6(alpha066, alpha137, alpha191, alpha054, alpha013, alpha120)",long_top/short_bottom,3264,-0.04437255859375,-0.04599118091932497,0.13401097685073757,-0.34318965505751287,-0.20149022340774536,0.5171568627450981,0.0012006144970655441,-0.0013101213844493032
"gp_mean3(gp_max(alpha137, alpha191), gp_mean7(alpha137, alpha183, alpha096, alpha054, alpha096, alpha165, alpha127), alpha191)",long_top/short_bottom,3264,-0.04630237817764282,-0.04854798577924091,0.13262690142011013,-0.3660493102033643,-0.17168724536895752,0.5098039215686274,0.00124904396943748,-0.0013241848209872842
"gp_mean6(alpha191, alpha096, alpha120, alpha022, gp_abs(gp_max(alpha137, alpha054)), alpha146)",long_top/short_bottom,3264,-0.04559743404388428,-0.04800379641070851,0.12993095701918542,-0.36945619051832534,-0.1858707070350647,0.5107230392156863,0.0011795624159276485,-0.0012562016490846872
"gp_mean3(gp_max(alpha137, alpha054), gp_mean7(alpha137, alpha146, alpha191, alpha054, alpha096, alpha165, alpha120), alpha191)",long_top/short_bottom,3264,-0.051266491413116455,-0.0537899312090494,0.13941568362988147,-0.3858241039211202,-0.21769005060195923,0.5174632352941176,0.0012531513348221779,-0.00137227401137352
"gp_mean3(gp_max(alpha137, alpha054), alpha183, alpha191)",long_top/short_bottom,3264,-0.05050313472747803,-0.05388284998295456,0.13132638678264116,-0.4102972091369291,-0.21246755123138428,0.5220588235294118,0.0011722735362127423,-0.0013092258013784885
"gp_max(gp_decay_20(gp_cos(alpha066)), alpha054)",long_top/short_bottom,3264,-0.0555536150932312,-0.05872745768581944,0.14193721779073365,-0.4137565791405378,-0.23847413063049316,0.5174632352941176,0.0013140476075932384,-0.0014402669621631503
gp_signedpower(alpha191),long_top/short_bottom,3264,-0.05661952495574951,-0.0599065633899285,0.14298288087964195,-0.41897717420000635,-0.18231719732284546,0.5094975490196079,0.0013416934525594115,-0.0014248876832425594
"gp_mean2(alpha191, 18.107632464154598)",long_top/short_bottom,3264,-0.05661952495574951,-0.0599065633899285,0.14298288087964195,-0.41897717420000635,-0.18231719732284546,0.5094975490196079,0.0013416934525594115,-0.0014248876832425594
"gp_mean2(alpha191, alpha191)",long_top/short_bottom,3264,-0.05661952495574951,-0.0599065633899285,0.14298288087964195,-0.41897717420000635,-0.18231719732284546,0.5094975490196079,0.0013416934525594115,-0.0014248876832425594
gp_vneg(alpha191),long_bottom/short_top,3264,-0.05661952495574951,-0.0599065633899285,0.14298288087964195,-0.41897717420000635,-0.18231719732284546,0.5094975490196079,0.0013416934525594115,-0.0014248876832425594
"gp_mean6(alpha022, alpha096, alpha120, alpha054, alpha038, alpha146)",long_top/short_bottom,3264,-0.05553269386291504,-0.05970958976461371,0.13423466312117052,-0.4448149857590453,-0.18693536520004272,0.5162377450980392,0.001225299434736371,-0.0013391190441325307
"gp_if(alpha162, alpha013, alpha054)",long_top/short_bottom,3264,-0.053732991218566895,-0.05838044884308469,0.12703121121456482,-0.459575629366203,-0.19155466556549072,0.5128676470588235,0.0011455934727564454,-0.0012367416638880968
"gp_mean3(gp_max(alpha137, alpha191), gp_mean7(alpha137, alpha146, alpha191, alpha054, alpha096, alpha165, alpha184), alpha191)",long_top/short_bottom,3264,-0.06202518939971924,-0.06725084186466823,0.13765172593099398,-0.48855792696984907,-0.20451265573501587,0.5076593137254902,0.0012697211932390928,-0.0013442974304780364
"gp_mean6(alpha066, alpha013, alpha191, alpha166, alpha013, alpha120)",long_top/short_bottom,3264,-0.06181168556213379,-0.0680980226154062,0.1288332088852847,-0.5285750716342232,-0.17514628171920776,0.5039828431372549,0.0011871677124872804,-0.001241497229784727
